"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option2 name","Option2 value","Option3 name","Option3 value","Price","Compare-at price","Cost per item","Charge tax","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Collection","product.metafields.spartan.department","product.metafields.spartan.spec_available_colours","product.metafields.spartan.spec_average_gross_unit_weight_kg","product.metafields.spartan.spec_average_net_unit_weight_kg","product.metafields.spartan.spec_box_dimensions_l_x_w_x_h_m","product.metafields.spartan.spec_brand","product.metafields.spartan.spec_cable_size_in","product.metafields.spartan.spec_capacity","product.metafields.spartan.spec_carton_size","product.metafields.spartan.spec_certification_standard","product.metafields.spartan.spec_colour","product.metafields.spartan.spec_compatibility","product.metafields.spartan.spec_dimensions","product.metafields.spartan.spec_dimensions_in","product.metafields.spartan.spec_end_fitting_type","product.metafields.spartan_erp.material_code","product.metafields.spartan_erp.product_group","product.metafields.spartan.spec_eu_size","product.metafields.spartan.spec_grade","product.metafields.spartan.spec_handle_type","product.metafields.spartan.spec_height","product.metafields.spartan.spec_hole_diameter","product.metafields.spartan.spec_inside_diameter_in","product.metafields.spartan.spec_length","product.metafields.spartan.spec_material","product.metafields.spartan.spec_net_buoyancy","product.metafields.spartan.spec_notes","product.metafields.spartan.spec_outside_diameter_in","product.metafields.spartan.spec_outside_diameter_after_swage_in","product.metafields.spartan.spec_ply","product.metafields.spartan.spec_shank_x_diameter_in","product.metafields.spartan.spec_size","product.metafields.spartan.spec_size_in","product.metafields.spartan.spec_size_length_mm","product.metafields.spartan.spec_size_number","product.metafields.spartan.spec_standard_tap_size_in","product.metafields.spartan.spec_stock_size_in","product.metafields.spartan.spec_strand","product.metafields.spartan.spec_strength","product.metafields.spartan_erp.supplier_type_code","product.metafields.spartan.spec_take_up_length_j_length_in","product.metafields.spartan.spec_temperature_limit_if_applicable","product.metafields.spartan.spec_thread_size","product.metafields.spartan.spec_torque_specification_ft_lb","product.metafields.spartan.spec_volume","product.metafields.spartan.spec_wattage","product.metafields.spartan.spec_width","product.metafields.spartan.spec_working_load_limit","product.metafields.spartan.spec_working_load_limit_lb","product.metafields.spartan.spec_working_load_limit_ton"
"TAPE CONSPICUITY YELLOW","tape-conspicuity-yellow-ap1000y","<table><tbody><tr><th>Colour</th><td>Yellow</td></tr><tr><th>Width</th><td>2&quot;</td></tr><tr><th>Length</th><td>150'</td></tr></tbody></table>","SECURITY TRIM","","Reflective Tape","Spartan import, department:safety-buoys-survival, category:reflective-tape, Reflective Tape, SECURITY TRIM","false","draft","AP1000Y","","Title","Default Title","","","","","","","","true","907","g","true","manual","Reflective Tape","Safety, Buoys & Survival","","","","","","","","","","Yellow","","","","","","","","","","","","","150'","","","","","","","","","","","","","","","","","","","","","","","2""","","",""
"THIMBLE 1-1/8-1-1/4 GALV","thimble-1-1-8-1-1-4-galv-g41118x","THIMBLE 1-1/8-1-1/4 GALV
<table><tbody><tr><th>Brand</th><td>/</td></tr><tr><th>Size (in)</th><td>/</td></tr><tr><th>Material</th><td>/</td></tr><tr><th>Supplier Type Code</th><td>/</td></tr><tr><th>Certification Standard</th><td>/</td></tr></tbody></table>","Qindao","","Thimbles","Spartan import, department:rigging-hardware, category:thimbles, Thimbles, Qindao","false","draft","G41118X","","Title","Default Title","","","","","","","","true","0","g","true","manual","Thimbles","Rigging Hardware","","","","","/","","","","/","","","","","","","","","","","","","","","/","","","","","","","","/","","","","","","","/","","","","","","","","","",""
"THIMBLE 3/8 LD SS304","thimble-3-8-ld-ss304-ss41106x","THIMBLE 3/8 LD SS304
<table><tbody><tr><th>Brand</th><td>non-brand</td></tr><tr><th>Size (in)</th><td>3/8&quot;</td></tr><tr><th>Material</th><td>SS304</td></tr><tr><th>Supplier Type Code</th><td>G411</td></tr><tr><th>Certification Standard</th><td>FF-T-276C - Thimbles</td></tr></tbody></table>","Qindao","","Thimbles","Spartan import, department:rigging-hardware, category:thimbles, Thimbles, Qindao","false","draft","SS41106X","","Title","Default Title","","","","","","","","true","0","g","true","manual","Thimbles","Rigging Hardware","","","","","non-brand","","","","FF-T-276C - Thimbles","","","","","","","","","","","","","","","SS304","","","","","","","","3/8""","","","","","","","G411","","","","","","","","","",""
"TURNBUCKLE 1-1/2X24 STUB END","turnbuckle-1-1-2x24-stub-end-hs2512424x","/
<table><tbody><tr><th>Brand</th><td>/</td></tr><tr><th>Size (in)</th><td>/</td></tr><tr><th>Working Load Limit (lb)</th><td>/</td></tr><tr><th>Material</th><td>/</td></tr><tr><th>End Fitting Type</th><td>/</td></tr><tr><th>Take-Up Length / J Length (in)</th><td>/</td></tr><tr><th>Certification Standard</th><td>/</td></tr></tbody></table>","Qindao","","Turnbuckles","Spartan import, department:rigging-hardware, category:turnbuckles, Turnbuckles, Qindao","false","draft","HS2512424X","","Title","Default Title","","","","","","","","true","0","g","true","manual","Turnbuckles","Rigging Hardware","","","","","/","","","","/","","","","","/","","","","","","","","","","/","","","","","","","","/","","","","","","","","/","","","","","","","","/",""
"TURNBUCKLE 1-1/4X24 EYE&EYE","turnbuckle-1-1-4x24-eye-eye-hg2262024lnx","TURNBUCKLE 1-1/4X24 EYE&EYE
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size (in)</th><td>1-1/4X24</td></tr><tr><th>Working Load Limit (lb)</th><td>15200</td></tr><tr><th>Material</th><td>45#</td></tr><tr><th>End Fitting Type</th><td>EYE&amp;EYE</td></tr><tr><th>Take-Up Length / J Length (in)</th><td>24</td></tr><tr><th>Certification Standard</th><td>FF-T-791b Turnbuckles</td></tr></tbody></table>","Qindao","","Turnbuckles","Spartan import, department:rigging-hardware, category:turnbuckles, Turnbuckles, Qindao","false","draft","HG2262024LNX","","Title","Default Title","","","","","","","","true","12701","g","true","manual","Turnbuckles","Rigging Hardware","","","","","Q","","","","FF-T-791b Turnbuckles","","","","","EYE&EYE","","","","","","","","","","45#","","","","","","","","1-1/4X24","","","","","","","","24","","","","","","","","15200",""
"TURNBUCKLE 1/2X6 BODY","turnbuckle-1-2x6-body-hg25100806x","TURNBUCKLE 1/2X6 BODY
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size (in)</th><td>1/2X6</td></tr><tr><th>Working Load Limit (lb)</th><td>2200</td></tr><tr><th>Material</th><td>45#</td></tr><tr><th>End Fitting Type</th><td>BODY</td></tr><tr><th>Take-Up Length / J Length (in)</th><td>6</td></tr><tr><th>Certification Standard</th><td>FF-T-791b Turnbuckles</td></tr></tbody></table>","Qindao","","Turnbuckles","Spartan import, department:rigging-hardware, category:turnbuckles, Turnbuckles, Qindao","false","draft","HG25100806X","","Title","Default Title","","","","","","","","true","272","g","true","manual","Turnbuckles","Rigging Hardware","","","","","Q","","","","FF-T-791b Turnbuckles","","","","","BODY","","","","","","","","","","45#","","","","","","","","1/2X6","","","","","","","","6","","","","","","","","2200",""
"TURNBUCKLE 1X12 JAW&EYE GALV","turnbuckle-1x12-jaw-eye-galv-hg2271612lnx","TURNBUCKLE 1X12 JAW&EYE GALV
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size (in)</th><td>1X12</td></tr><tr><th>Working Load Limit (lb)</th><td>10000</td></tr><tr><th>Material</th><td>45#</td></tr><tr><th>End Fitting Type</th><td>JAW&amp;EYE</td></tr><tr><th>Take-Up Length / J Length (in)</th><td>12</td></tr><tr><th>Certification Standard</th><td>FF-T-791b Turnbuckles</td></tr></tbody></table>","Qindao","","Turnbuckles","Spartan import, department:rigging-hardware, category:turnbuckles, Turnbuckles, Qindao","false","draft","HG2271612LNX","","Title","Default Title","","","","","","","","true","5352","g","true","manual","Turnbuckles","Rigging Hardware","","","","","Q","","","","FF-T-791b Turnbuckles","","","","","JAW&EYE","","","","","","","","","","45#","","","","","","","","1X12","","","","","","","","12","","","","","","","","10000",""
"TURNBUCKLE 3/4X9 HOOK&EYE GALV","turnbuckle-3-4x9-hook-eye-galv-hg2251209lnx","TURNBUCKLE 3/4X9 HOOK&EYE GALV
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size (in)</th><td>3/4X9</td></tr><tr><th>Working Load Limit (lb)</th><td>3000</td></tr><tr><th>Material</th><td>45#</td></tr><tr><th>End Fitting Type</th><td>HOOK&amp;EYE</td></tr><tr><th>Take-Up Length / J Length (in)</th><td>9</td></tr><tr><th>Certification Standard</th><td>FF-T-791b Turnbuckles</td></tr></tbody></table>","Qindao","","Turnbuckles","Spartan import, department:rigging-hardware, category:turnbuckles, Turnbuckles, Qindao","false","draft","HG2251209LNX","","Title","Default Title","","","","","","","","true","2087","g","true","manual","Turnbuckles","Rigging Hardware","","","","","Q","","","","FF-T-791b Turnbuckles","","","","","HOOK&EYE","","","","","","","","","","45#","","","","","","","","3/4X9","","","","","","","","9","","","","","","","","3000",""
"TURNBUCKLE 3/4X12 JAW&EYE","turnbuckle-3-4x12-jaw-eye-hg2271212lnx","TURNBUCKLE 3/4X12 JAW&EYE
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size (in)</th><td>3/4X12</td></tr><tr><th>Working Load Limit (lb)</th><td>5200</td></tr><tr><th>Material</th><td>45#</td></tr><tr><th>End Fitting Type</th><td>JAW&amp;EYE</td></tr><tr><th>Take-Up Length / J Length (in)</th><td>12</td></tr><tr><th>Certification Standard</th><td>FF-T-791b Turnbuckles</td></tr></tbody></table>","Qindao","","Turnbuckles","Spartan import, department:rigging-hardware, category:turnbuckles, Turnbuckles, Qindao","false","draft","HG2271212LNX","","Title","Default Title","","","","","","","","true","3007","g","true","manual","Turnbuckles","Rigging Hardware","","","","","Q","","","","FF-T-791b Turnbuckles","","","","","JAW&EYE","","","","","","","","","","45#","","","","","","","","3/4X12","","","","","","","","12","","","","","","","","5200",""
"TURNBUCKLE 5/16X4-1/2 JAW&EYE GALV","turnbuckle-5-16x4-1-2-jaw-eye-galv-hg2270504-5x","TURNBUCKLE 5/16X4-1/2 JAW&EYE GALV
<table><tbody><tr><th>Brand</th><td>Q</td></tr><tr><th>Size (in)</th><td>5/16X4-1/2</td></tr><tr><th>Working Load Limit (lb)</th><td>800</td></tr><tr><th>Material</th><td>45#</td></tr><tr><th>End Fitting Type</th><td>JAW&amp;EYE</td></tr><tr><th>Take-Up Length / J Length (in)</th><td>4-1/2</td></tr><tr><th>Certification Standard</th><td>FF-T-791b Turnbuckles</td></tr></tbody></table>","Qindao","","Turnbuckles","Spartan import, department:rigging-hardware, category:turnbuckles, Turnbuckles, Qindao","false","draft","HG2270504-5X","","Title","Default Title","","","","","","","","true","231","g","true","manual","Turnbuckles","Rigging Hardware","","","","","Q","","","","FF-T-791b Turnbuckles","","","","","JAW&EYE","","","","","","","","","","45#","","","","","","","","5/16X4-1/2","","","","","","","","4-1/2","","","","","","","","800",""
