"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option2 name","Option2 value","Option3 name","Option3 value","Price","Compare-at price","Cost per item","Charge tax","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Collection","product.metafields.spartan.department","product.metafields.spartan.spec_available_colours","product.metafields.spartan.spec_average_gross_unit_weight_kg","product.metafields.spartan.spec_average_net_unit_weight_kg","product.metafields.spartan.spec_box_dimensions_l_x_w_x_h_m","product.metafields.spartan.spec_brand","product.metafields.spartan.spec_cable_size_in","product.metafields.spartan.spec_capacity","product.metafields.spartan.spec_carton_size","product.metafields.spartan.spec_certification_standard","product.metafields.spartan.spec_colour","product.metafields.spartan.spec_compatibility","product.metafields.spartan.spec_dimensions","product.metafields.spartan.spec_dimensions_in","product.metafields.spartan.spec_end_fitting_type","product.metafields.spartan_erp.material_code","product.metafields.spartan_erp.product_group","product.metafields.spartan.spec_eu_size","product.metafields.spartan.spec_grade","product.metafields.spartan.spec_handle_type","product.metafields.spartan.spec_height","product.metafields.spartan.spec_hole_diameter","product.metafields.spartan.spec_inside_diameter_in","product.metafields.spartan.spec_length","product.metafields.spartan.spec_material","product.metafields.spartan.spec_net_buoyancy","product.metafields.spartan.spec_notes","product.metafields.spartan.spec_outside_diameter_in","product.metafields.spartan.spec_outside_diameter_after_swage_in","product.metafields.spartan.spec_ply","product.metafields.spartan.spec_shank_x_diameter_in","product.metafields.spartan.spec_size","product.metafields.spartan.spec_size_in","product.metafields.spartan.spec_size_length_mm","product.metafields.spartan.spec_size_number","product.metafields.spartan.spec_standard_tap_size_in","product.metafields.spartan.spec_stock_size_in","product.metafields.spartan.spec_strand","product.metafields.spartan.spec_strength","product.metafields.spartan_erp.supplier_type_code","product.metafields.spartan.spec_take_up_length_j_length_in","product.metafields.spartan.spec_temperature_limit_if_applicable","product.metafields.spartan.spec_thread_size","product.metafields.spartan.spec_torque_specification_ft_lb","product.metafields.spartan.spec_volume","product.metafields.spartan.spec_wattage","product.metafields.spartan.spec_width","product.metafields.spartan.spec_working_load_limit","product.metafields.spartan.spec_working_load_limit_lb","product.metafields.spartan.spec_working_load_limit_ton"
"12% LAVO BLEACH 3.6L 6/Case","12-lavo-bleach-3-6l-6-case-010253","<table><tbody><tr><th>Size</th><td>3.6L</td></tr><tr><th>Strength</th><td>0.12</td></tr></tbody></table>","BUNZL (R3 RELIABLE)","","Bleach","Spartan import, department:maintenance-supplies, category:bleach, Bleach, BUNZL (R3 RELIABLE)","false","draft","010253","","Title","Default Title","","","","","","","","true","","","true","manual","Bleach","Maintenance & Supplies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6L","","","","","","","0.12","","","","","","","","","","",""
"600W LED Flood light with Aluminum cover","600w-led-flood-light-with-aluminum-cover-et2c-600","<table><tbody><tr><th>Size</th><td>69*51*25(cm)</td></tr><tr><th>Wattage</th><td>600</td></tr><tr><th>Colour</th><td>Black</td></tr></tbody></table>","ET2C INTERNATIONAL INC","","Lights","Spartan import, department:safety-buoys-survival, category:lights, Lights, ET2C INTERNATIONAL INC","false","draft","ET2C-600","","Title","Default Title","","","","","","","","true","","","true","manual","Lights","Safety, Buoys & Survival","","","","","","","","","","Black","","","","","","","","","","","","","","","","","","","","","69*51*25(cm)","","","","","","","","","","","","","","600","","","",""
"APRON 35X45 DIE-CUT ENDEAVOUR BLUE","apron-35x45-die-cut-endeavour-blue-14010080","<table><tbody><tr><th>Colour</th><td>Blue</td></tr></tbody></table>","INDIGO BAY TEX.","","Aprons","Spartan import, department:workwear-footwear, category:aprons, Aprons, INDIGO BAY TEX.","false","draft","14010080","","Title","Default Title","","","","","","","","true","","","true","manual","Aprons","Workwear & Footwear","","","","","","","","","","Blue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APRON CLIPPER","apron-clipper-70019-800-0001","","GRUNDEN'S USA LTD","","Aprons","Spartan import, department:workwear-footwear, category:aprons, Aprons, GRUNDEN'S USA LTD","false","draft","70019-800-0001","","Title","Default Title","","","","","","","","true","549","g","true","manual","Aprons","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APRON X SCALLOPER","apron-x-scalloper-70110-100-0001","","GRUNDEN'S USA LTD","","Aprons","Spartan import, department:workwear-footwear, category:aprons, Aprons, GRUNDEN'S USA LTD","false","draft","70110-100-0001","","Title","Default Title","","","","","","","","true","998","g","true","manual","Aprons","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAG SCALLOP 15-1/2X30 COTTON","bag-scallop-15-1-2x30-cotton-64021555","<table><tbody><tr><th>Size</th><td>56*42*21(cm)</td></tr></tbody></table>","ET2C INTERNATIONAL INC","","Scallop Bags","Spartan import, department:fishing-trap-gear, category:scallop-bags, Scallop Bags, ET2C INTERNATIONAL INC","false","draft","64021555","","Title","Default Title","","","","","","","","true","","","true","manual","Scallop Bags","Fishing & Trap Gear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56*42*21(cm)","","","","","","","","","","","","","","","","","",""
"BAIT JAR TONYS W/EYELET","bait-jar-tonys-w-eyelet-25010082","","QUALITY INDUSTRIAL SALES LTD","","Bait Jars","Spartan import, department:fishing-trap-gear, category:bait-jars, Bait Jars, QUALITY INDUSTRIAL SALES LTD","false","draft","25010082","","Title","Default Title","","","","","","","","true","","","true","manual","Bait Jars","Fishing & Trap Gear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BALACLAVA HH LIFA MERINO STD","balaclava-hh-lifa-merino-std-79707-481","<table><tbody><tr><th>Size</th><td>One size</td></tr><tr><th>Material</th><td>57% Merino, 43% Polypropylene</td></tr><tr><th>Colour</th><td>Camo</td></tr></tbody></table>","HELLY HANSEN WORKWEAR","","Balaclavas","Spartan import, department:workwear-footwear, category:balaclavas, Balaclavas, HELLY HANSEN WORKWEAR","false","draft","79707-481","","Title","Default Title","","","","","","","","true","","","true","manual","Balaclavas","Workwear & Footwear","","","","","","","","","","Camo","","","","","","","","","","","","","","57% Merino, 43% Polypropylene","","","","","","","One size","","","","","","","","","","","","","","","","","",""
"BARREL LEAD 4OZ 34MM LENGTH X 12MM HOLE","barrel-lead-4oz-34mm-length-x-12mm-hole-57040003","","SEA MASTER ENTERPRISE CO LTD","","Sinkers","Spartan import, department:fishing-trap-gear, category:sinkers, Sinkers, SEA MASTER ENTERPRISE CO LTD","false","draft","57040003","","Title","Default Title","","","","","","","","true","","","true","manual","Sinkers","Fishing & Trap Gear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER BOTTOM 2XLARGE THERMAL GRUNDI","base-layer-bottom-2xlarge-thermal-grundi-20023-025-0017","","GRUNDEN'S USA LTD","","Base Layer Bottoms","Spartan import, department:workwear-footwear, category:base-layer-bottoms, Base Layer Bottoms, GRUNDEN'S USA LTD","false","draft","20023-025-0017","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Bottoms","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER BOTTOM LARGE THERMAL GRUNDIES","base-layer-bottom-large-thermal-grundies-20023-025-0015","","GRUNDEN'S USA LTD","","Base Layer Bottoms","Spartan import, department:workwear-footwear, category:base-layer-bottoms, Base Layer Bottoms, GRUNDEN'S USA LTD","false","draft","20023-025-0015","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Bottoms","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER BOTTOM MEDIUM THERMAL GRUNDIE","base-layer-bottom-medium-thermal-grundie-20023-025-0014","","GRUNDEN'S USA LTD","","Base Layer Bottoms","Spartan import, department:workwear-footwear, category:base-layer-bottoms, Base Layer Bottoms, GRUNDEN'S USA LTD","false","draft","20023-025-0014","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Bottoms","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER BOTTOM XLARGE THERMAL GRUNDIE","base-layer-bottom-xlarge-thermal-grundie-20023-025-0016","","GRUNDEN'S USA LTD","","Base Layer Bottoms","Spartan import, department:workwear-footwear, category:base-layer-bottoms, Base Layer Bottoms, GRUNDEN'S USA LTD","false","draft","20023-025-0016","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Bottoms","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER TOP 2XLARGE THERMAL 1/4 ZIP G","base-layer-top-2xlarge-thermal-1-4-zip-g-20022-025-0017","","GRUNDEN'S USA LTD","","Base Layer Tops","Spartan import, department:workwear-footwear, category:base-layer-tops, Base Layer Tops, GRUNDEN'S USA LTD","false","draft","20022-025-0017","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Tops","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER TOP LARGE THERMAL 1/4 ZIP GRU","base-layer-top-large-thermal-1-4-zip-gru-20022-025-0015","","GRUNDEN'S USA LTD","","Base Layer Tops","Spartan import, department:workwear-footwear, category:base-layer-tops, Base Layer Tops, GRUNDEN'S USA LTD","false","draft","20022-025-0015","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Tops","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER TOP MEDIUM THERMAL 1/4 ZIP GR","base-layer-top-medium-thermal-1-4-zip-gr-20022-025-0014","","GRUNDEN'S USA LTD","","Base Layer Tops","Spartan import, department:workwear-footwear, category:base-layer-tops, Base Layer Tops, GRUNDEN'S USA LTD","false","draft","20022-025-0014","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Tops","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASE LAYER TOP XLARGE THERMAL 1/4 ZIP GR","base-layer-top-xlarge-thermal-1-4-zip-gr-20022-025-0016","","GRUNDEN'S USA LTD","","Base Layer Tops","Spartan import, department:workwear-footwear, category:base-layer-tops, Base Layer Tops, GRUNDEN'S USA LTD","false","draft","20022-025-0016","","Title","Default Title","","","","","","","","true","0","g","true","manual","Base Layer Tops","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BASKET 19X17 CAN-AM PLASTIC","basket-19x17-can-am-plastic-16030073","","BWAY CORPORATION CANADA","","Fish Boxes","Spartan import, department:fishing-trap-gear, category:fish-boxes, Fish Boxes, BWAY CORPORATION CANADA","false","draft","16030073","","Title","Default Title","","","","","","","","true","","","true","manual","Fish Boxes","Fishing & Trap Gear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEACON PERSONAL LOCATOR RESQLINK (PLB) 4","beacon-personal-locator-resqlink-plb-4-2921-63","","ACR ELECTRONICS INC.","","Personal Locator Beacons","Spartan import, department:safety-buoys-survival, category:personal-locator-beacons, Personal Locator Beacons, ACR ELECTRONICS INC.","false","draft","2921.63","","Title","Default Title","","","","","","","","true","","","true","manual","Personal Locator Beacons","Safety, Buoys & Survival","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEANIE ONE SIZE MERINO CAMO","beanie-one-size-merino-camo-79705-481","","HELLY HANSEN WORKWEAR","","Balaclavas","Spartan import, department:workwear-footwear, category:balaclavas, Balaclavas, HELLY HANSEN WORKWEAR","false","draft","79705-481","","Title","Default Title","","","","","","","","true","","","true","manual","Balaclavas","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BELT 1-SIZE GAGE KNIFE","belt-1-size-gage-knife-70045-001-0001","","GRUNDEN'S USA LTD","","Belts","Spartan import, department:workwear-footwear, category:belts, Belts, GRUNDEN'S USA LTD","false","draft","70045-001-0001","","Title","Default Title","","","","","","","","true","64","g","true","manual","Belts","Workwear & Footwear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BELT EXTENDER PROVIDES ADDITIONAL 12 BLA","belt-extender-provides-additional-12-bla-ma7637bk","<table><tbody><tr><th>Size</th><td>Item Length (in) - 11.875&quot; / Item Width (in) - 8.0&quot; / Item Height (in) - 1.0&quot;</td></tr><tr><th>Colour</th><td>BLACK</td></tr></tbody></table>","MUSTANG SURVIVAL ULC","","Belt Extender","Spartan import, department:workwear-footwear, category:belt-extender, Belt Extender, MUSTANG SURVIVAL ULC","false","draft","MA7637BK","","Title","Default Title","","","","","","","","true","68","g","true","manual","Belt Extender","Workwear & Footwear","","","","","","","","","","BLACK","","","","","","","","","","","","","","","","","","","","","Item Length (in) - 11.875"" / Item Width (in) - 8.0"" / Item Height (in) - 1.0""","","","","","","","","","","","","","","","","","",""
"BELT WEBBING HH LOGO BLACK","belt-webbing-hh-logo-black-79528-990","<table><tbody><tr><th>Size</th><td>STD</td></tr><tr><th>Material</th><td>96% Cotton, 4% Spandex Stretch</td></tr><tr><th>Colour</th><td>Black</td></tr></tbody></table>","HELLY HANSEN WORKWEAR","","Belts","Spartan import, department:workwear-footwear, category:belts, Belts, HELLY HANSEN WORKWEAR","false","draft","79528-990","","Title","Default Title","","","","","","","","true","179","g","true","manual","Belts","Workwear & Footwear","","","","","","","","","","Black","","","","","","","","","","","","","","96% Cotton, 4% Spandex Stretch","","","","","","","STD","","","","","","","","","","","","","","","","","",""
"BELT WEBBING HH LOGO GREEN","belt-webbing-hh-logo-green-79528-480","<table><tbody><tr><th>Size</th><td>STD</td></tr><tr><th>Material</th><td>96% Cotton, 4% Spandex Stretch</td></tr><tr><th>Colour</th><td>Army Green</td></tr></tbody></table>","HELLY HANSEN WORKWEAR","","Belts","Spartan import, department:workwear-footwear, category:belts, Belts, HELLY HANSEN WORKWEAR","false","draft","79528-480","","Title","Default Title","","","","","","","","true","179","g","true","manual","Belts","Workwear & Footwear","","","","","","","","","","Army Green","","","","","","","","","","","","","","96% Cotton, 4% Spandex Stretch","","","","","","","STD","","","","","","","","","","","","","","","","","",""
"BELT WEBBING HH LOGO ORANGE","belt-webbing-hh-logo-orange-79528-290","<table><tbody><tr><th>Size</th><td>STD</td></tr><tr><th>Material</th><td>96% Cotton, 4% Spandex Stretch</td></tr><tr><th>Colour</th><td>Orange</td></tr></tbody></table>","HELLY HANSEN WORKWEAR","","Belts","Spartan import, department:workwear-footwear, category:belts, Belts, HELLY HANSEN WORKWEAR","false","draft","79528-290","","Title","Default Title","","","","","","","","true","179","g","true","manual","Belts","Workwear & Footwear","","","","","","","","","","Orange","","","","","","","","","","","","","","96% Cotton, 4% Spandex Stretch","","","","","","","STD","","","","","","","","","","","","","","","","","",""
"BOAT HOOK 3-1/2 -8 ADJUSTABLE","boat-hook-3-1-2-8-adjustable-25050046","","DAVIS INSTRUMENTS","","Boat Hooks","Spartan import, department:maintenance-supplies, category:boat-hooks, Boat Hooks, DAVIS INSTRUMENTS","false","draft","25050046","","Title","Default Title","","","","","","","","true","","","true","manual","Boat Hooks","Maintenance & Supplies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOBBIN REPLACEMENT FOR CLASSIC & DELUXE","bobbin-replacement-for-classic-deluxe-ma9211","<table><tbody><tr><th>Size</th><td>Item Length (in) - 11&quot; / Item Width (in) - 8.0&quot; / Item Height (in) - 0.50&quot;</td></tr><tr><th>Colour</th><td>No Color Applicable</td></tr></tbody></table>","MUSTANG SURVIVAL ULC","","PFDs","Spartan import, department:safety-buoys-survival, category:pfds, PFDs, MUSTANG SURVIVAL ULC","false","draft","MA9211","","Title","Default Title","","","","","","","","true","6350","g","true","manual","PFDs","Safety, Buoys & Survival","","","","","","","","","","No Color Applicable","","","","","","","","","","","","","","","","","","","","","Item Length (in) - 11"" / Item Width (in) - 8.0"" / Item Height (in) - 0.50""","","","","","","","","","","","","","","","","","",""
"BOMMUL Ø2,5 8x1 3,4g/m","bommul-2-5-8x1-3-4g-m-0704001-t2-5mmcbbgc","<table><tbody><tr><th>ERP Product Group</th><td>Yachting</td></tr><tr><th>Average Net Unit Weight (kg)</th><td>0.9929411764705882</td></tr><tr><th>Average Gross Unit Weight (kg)</th><td>0.9929411764705882</td></tr></tbody></table>","Cotesi","","Rope","Spartan import, department:rope-line-nets, category:rope, Rope, Cotesi","false","draft","0704001-T2,5MMCBBGC","","Title","Default Title","","","","","","","","true","","","true","manual","Rope","Rope, Line & Nets","","0.9929411764705882","0.9929411764705882","","","","","","","","","","","","","Yachting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOMMUL Ø2,5 8x1 3,4g/m","bommul-2-5-8x1-3-4g-m-07040001","<table><tbody><tr><th>ERP Material Code</th><td>NAU0892</td></tr><tr><th>ERP Product Group</th><td>Yachting</td></tr><tr><th>Average Net Unit Weight (kg)</th><td>0.9424063361958751</td></tr><tr><th>Average Gross Unit Weight (kg)</th><td>0.9424063361958751</td></tr></tbody></table>","Cotesi","","Rope","Spartan import, department:rope-line-nets, category:rope, Rope, Cotesi","false","draft","07040001","","Title","Default Title","","","","","","","","true","","","true","manual","Rope","Rope, Line & Nets","","0.9424063361958751","0.9424063361958751","","","","","","","","","","","","NAU0892","Yachting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOMMUL Ø2,5 8x1 3,4g/m","bommul-2-5-8x1-3-4g-m-t2-5mmcbbgc","<table><tbody><tr><th>ERP Product Group</th><td>Yachting</td></tr><tr><th>Average Net Unit Weight (kg)</th><td>0.9532238113383533</td></tr><tr><th>Average Gross Unit Weight (kg)</th><td>0.9601944151052956</td></tr></tbody></table>","Cotesi","","Rope","Spartan import, department:rope-line-nets, category:rope, Rope, Cotesi","false","draft","T2.5MMCBBGC","","Title","Default Title","","","","","","","","true","","","true","manual","Rope","Rope, Line & Nets","","0.9601944151052956","0.9532238113383533","","","","","","","","","","","","","Yachting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOMMUL Ø3,5 8x2 5,7g/m","bommul-3-5-8x2-5-7g-m-07040000","<table><tbody><tr><th>ERP Material Code</th><td>NAU1004</td></tr><tr><th>ERP Product Group</th><td>Yachting</td></tr><tr><th>Average Net Unit Weight (kg)</th><td>0.8772994741756351</td></tr><tr><th>Average Gross Unit Weight (kg)</th><td>0.8772994741756351</td></tr></tbody></table>","Cotesi","","Rope","Spartan import, department:rope-line-nets, category:rope, Rope, Cotesi","false","draft","07040000","","Title","Default Title","","","","","","","","true","","","true","manual","Rope","Rope, Line & Nets","","0.8772994741756351","0.8772994741756351","","","","","","","","","","","","NAU1004","Yachting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOMMUL Ø3,5 8x2 5,7g/m","bommul-3-5-8x2-5-7g-m-07040000-t3-5mmcbc","<table><tbody><tr><th>ERP Product Group</th><td>Yachting</td></tr><tr><th>Average Net Unit Weight (kg)</th><td>0.9227121212121212</td></tr><tr><th>Average Gross Unit Weight (kg)</th><td>0.9227121212121212</td></tr></tbody></table>","Cotesi","","Rope","Spartan import, department:rope-line-nets, category:rope, Rope, Cotesi","false","draft","07040000-T3.5MMCBC","","Title","Default Title","","","","","","","","true","","","true","manual","Rope","Rope, Line & Nets","","0.9227121212121212","0.9227121212121212","","","","","","","","","","","","","Yachting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOMMUL Ø3,5 8x2 5,7g/m","bommul-3-5-8x2-5-7g-m-t3-5mmcbc","<table><tbody><tr><th>ERP Product Group</th><td>Yachting</td></tr><tr><th>Average Net Unit Weight (kg)</th><td>0.9440415821501015</td></tr><tr><th>Average Gross Unit Weight (kg)</th><td>0.9440415821501015</td></tr></tbody></table>","Cotesi","","Rope","Spartan import, department:rope-line-nets, category:rope, Rope, Cotesi","false","draft","T3.5MMCBC","","Title","Default Title","","","","","","","","true","","","true","manual","Rope","Rope, Line & Nets","","0.9440415821501015","0.9440415821501015","","","","","","","","","","","","","Yachting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOT BAND RUBBER 5/8 #105","boot-band-rubber-5-8-105-15010054","<table><tbody><tr><th>Colour</th><td>Tan</td></tr><tr><th>Size</th><td>5&quot; x 5/8' x 1/16&quot;</td></tr></tbody></table>","FRANK WINNE & SONS INC","","Boot Bands","Spartan import, department:workwear-footwear, category:boot-bands, Boot Bands, FRANK WINNE & SONS INC","false","draft","15010054","","Title","Default Title","","","","","","","","true","5897","g","true","manual","Boot Bands","Workwear & Footwear","","","","","","","","","","Tan","","","","","","","","","","","","","","","","","","","","","5"" x 5/8' x 1/16""","","","","","","","","","","","","","","","","","",""
"BOOTS 39 (6) CHEST WADERS","boots-39-6-chest-waders-7-70g06","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-70G06","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 41(7) CHEST WADERS","boots-41-7-chest-waders-7-70g07","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-70G07","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 42 (8) CHEST WADERS","boots-42-8-chest-waders-7-70g08","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-70G08","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 42 (8) THIGH WADERS","boots-42-8-thigh-waders-7-60g08","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-60G08","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 43 (9) CHEST WADERS","boots-43-9-chest-waders-7-70g09","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-70G09","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 43 (9) THIGH WADERS","boots-43-9-thigh-waders-7-60g09","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-60G09","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 44 (9.5) CHEST WADERS","boots-44-9-5-chest-waders-7-70g09-5","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-70G09.5","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 45 (10) CHEST WADERS","boots-45-10-chest-waders-7-70g10","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-70G10","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 45 (10) THIGH WADERS","boots-45-10-thigh-waders-7-60g10","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-60G10","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 46 (11) CHEST WADERS","boots-46-11-chest-waders-7-70g11","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-70G11","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 46 (11) THIGH WADERS","boots-46-11-thigh-waders-7-60g11","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-60G11","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 47 (12) CHEST WADERS","boots-47-12-chest-waders-7-70g12","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-70G12","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BOOTS 47 (12) THIGH WADERS","boots-47-12-thigh-waders-7-60g12","<table><tbody><tr><th>Colour</th><td>Olive</td></tr></tbody></table>","OCEAN TEXTILE A/S","","Boots","Spartan import, department:workwear-footwear, category:boots, Boots, OCEAN TEXTILE A/S","false","draft","7-60G12","","Title","Default Title","","","","","","","","true","","","true","manual","Boots","Workwear & Footwear","","","","","","","","","","Olive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
